ho,hn,qn,cn,wn,ro,eq_n,ep_n,ea_n,TIME,swcObs,swc,Prec,sito,veg,MI,AI,ApP,ApQ
11435155.4701792,2498455.05960012,8.94547145326036,0.514332242543343,104.934776772163,0,0.532183499857249,0.670551209820134,0.670551209820133,20010101,NA,0.699565178481088,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
11489922.857591,2514233.41565981,8.98831477987187,0.513865311776065,108.248049874933,0,0.535544369094252,0.674785905058757,0.674785905058757,20010102,NA,0.721653665832888,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
11549748.0508959,2531472.41922386,9.0351147171609,0.51335600631424,111.556186959165,0,0.539216363599622,0.679412618135524,0.679412618135524,20010103,NA,0.743707913061098,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
11614614.7895952,2550169.40227182,9.08585854489584,0.512804894334192,114.858754916562,0,0.543198915071582,0.684430632990193,0.684430632990193,20010104,NA,0.765725032777077,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
11684504.9402734,2570321.27461448,9.14053207770318,0.51221258499001,118.155322077346,0,0.547491365284278,0.68983912025819,0.689839120258189,20010105,NA,0.787702147182308,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
11759398.4702343,2591924.50430897,9.19911964444383,0.511579726084478,121.445458367469,0,0.552092961916107,0.695637132014295,0.695637132014295,20010106,NA,0.809636389116461,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
11839273.4212689,2614975.09765088,9.26160406769231,0.510907001640699,124.72873546876,0,0.557002854287935,0.701823596402798,0.701823596402798,20010107,NA,0.831524903125066,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
11924105.8838882,2639468.57893656,9.32796664357939,0.510195129392308,128.004726981999,0,0.56222008905236,0.708397312205974,0.708397312205974,20010108,NA,0.85336484654666,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12013869.9723535,2665399.97018916,9.39818712225927,0.509444858210173,131.273008592859,0,0.567743605875268,0.715356943402837,0.715356943402837,20010109,NA,0.875153390619061,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12108537.8008362,2692763.77103988,9.47224368925936,0.508656965483265,134.533158240626,0,0.573572233150421,0.722701013769531,0.722701013769531,20010110,NA,0.896887721604171,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12208079.4610275,2721553.93895143,9.55011294796542,0.507832254471024,137.784756289578,0,0.579704683786974,0.730427901571588,0.730427901571588,20010111,NA,0.918565041930519,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12312463.0015128,2751763.86996508,9.6317699034862,0.506971551643977,141.027385702878,0,0.586139551108488,0.738535834396695,0.738535834396695,20010112,NA,0.94018257135252,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12421654.4092075,2783386.3801445,9.71718794813123,0.506075704028653,144.260632218785,0,0.592875304900373,0.74702288417447,0.747022884174469,20010113,NA,0.961737548125233,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12535617.5931365,2816413.68788018,9.80633884872177,0.505145576572036,147.484084528983,0,0.599910287640647,0.755886962427216,0.755886962427216,20010114,NA,0.983227230193217,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12654314.3708192,2850837.39720764,9.89919273594031,0.504182049539811,150,0.69733445878245,0.607242710946627,0.76512581579275,0.765125815792749,20010115,NA,1,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12777704.4575014,2886648.48228041,9.99571809590673,0.503186015961657,150,3.20264269015729,0.614870652267597,0.774737021857173,0.774737021857173,20010116,NA,1,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
12905745.4584507,2923837.27312612,10.0958817641512,0.50215837913571,150,3.19163408985654,0.622792051850787,0.784717985331992,0.784717985331991,20010117,NA,1,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
13038392.8645077,2962393.4428002,10.199648922134,0.50110005020316,150,3.18022781164962,0.631004710005032,0.795065934606341,0.79506593460634,20010118,NA,1,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
13175600.0510592,3002305.99603756,10.3069830964422,0.50001194580278,150,3.16842772315431,0.639506284683545,0.805777918701267,0.805777918701266,20010119,NA,1,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
13317318.2805725,3043563.25948839,10.4178461607726,0.498894985813953,150,3.15623787721762,0.648294289404073,0.816850804649132,0.816850804649132,20010120,NA,1,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
13463496.7088037,3086152.87360924,10.5321983407875,0.497750091195568,150,3.14366251193107,0.65736609152167,0.828281275317305,0.828281275317305,20010121,NA,1,3.4741936960528,FR-Pue,EBF,0.638149369940963,1.56703124237592,1.019357838584,0.819633228670322
